ProteinGroups,ProteinAccessions,Genes,ProteinDescriptions,UniProtIds,ProteinNames,FastaFiles,sample_01,sample_02,sample_03,sample_04,sample_05,sample_06,sample_07,sample_08,sample_09,sample_10,sample_11
A3KGF9,A3KGF9,Ccdc9b,Coiled-coil domain-containing protein 9B,A3KGF9,CCD9B_MOUSE,UP000000589_mouse_reviewed_can_220920,7216.616699,15893.81152,3758.997803,6597.317871,21362.56641,17091.61328,5611.147949,54270.22266,5762.73291,19956.05273,3822.679688
A3KMP2,A3KMP2,Ttc38,Tetratricopeptide repeat protein 38,A3KMP2,TTC38_MOUSE,UP000000589_mouse_reviewed_can_220920,291291.4063,289748.6563,292741.3438,277083.5938,289944.6875,328468.4375,300370.5313,327811.0625,324263.1563,330177.625,313083.125
A6H611,A6H611,Mipep,Mitochondrial intermediate peptidase,A6H611,MIPEP_MOUSE,UP000000589_mouse_reviewed_can_220920,162013.0781,144567.1094,154478.0156,141759.5313,144230.25,195987.4531,151697.7031,157339.5156,158228.4375,152845.8281,150054.2969
A6H630,A6H630,Armt1,Damage-control phosphatase ARMT1,A6H630,ARMT1_MOUSE,UP000000589_mouse_reviewed_can_220920,11973.90332,13795.05859,13205.16602,11952.56836,11673.10449,1095.740601,13845.44336,13706.63281,12603.16504,14865.92969,14693.39648
A6H6A9,A6H6A9,Rabgap1l,Rab GTPase-activating protein 1-like,A6H6A9,RBG1L_MOUSE,UP000000589_mouse_reviewed_can_220920,35618.62109,36917.73438,31391.3418,33865.16797,30524.51367,16436.08203,16516.08203,20187.02734,24963.40234,24643.05664,28068.39258
A6H6E2,A6H6E2,Mmrn2,Multimerin-2,A6H6E2,MMRN2_MOUSE,UP000000589_mouse_reviewed_can_220920,2163391.25,1941060.25,2101005.25,2359560.5,2696089,1571031.5,1481008.625,1566727,1473957.75,1645743.375,1611325.875
A6H8H2,A6H8H2,Dennd4c,DENN domain-containing protein 4C,A6H8H2,DEN4C_MOUSE,UP000000589_mouse_reviewed_can_220920,21758.03516,18234.75781,18833.08203,18147.63672,4752.092285,13557.48633,13749.5791,10234.04102,17693.3457,12612.75195,15942.2793
A6X935,A6X935,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",A6X935,ITIH4_MOUSE,UP000000589_mouse_reviewed_can_220920,170324.1719,184617.7344,270925.6563,258305.6406,151856.3594,180297.3594,170103.5781,190341.125,372144.0938,244567.5,154191.2031
A7RDN6,A7RDN6,Rnls,Renalase,A7RDN6,RNLS_MOUSE,UP000000589_mouse_reviewed_can_220920,48388.02734,73751.71094,68704.01563,42873.05859,68757.5,30546.02344,Filtered,Filtered,Filtered,24138.82617,819.4200439
A9Q751,A9Q751,Cfap221,Cilia- and flagella-associated protein 221,A9Q751,PCDP1_MOUSE,UP000000589_mouse_reviewed_can_220920,70051.26563,68330.92969,59469.78906,61582.35156,71468,61435.91797,42961.33984,73327.74219,63923.38672,68023.71094,71892.92188
B1AR13,B1AR13,Cisd3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",B1AR13,CISD3_MOUSE,UP000000589_mouse_reviewed_can_220920,503785.4063,442604.4375,463448.125,444496.5,436756.9688,511134.9688,553910.75,545767,465807,552768.6875,553781.3125
B1AUE5,B1AUE5,Pex10,Peroxisome biogenesis factor 10,B1AUE5,PEX10_MOUSE,UP000000589_mouse_reviewed_can_220920,3223.713135,3747.794678,2440.637451,1467.528687,2853.784424,1646.721558,691.5756226,1833.085083,1383.469849,1224.019653,2487.602783
B1AY13,B1AY13,Usp24,Ubiquitin carboxyl-terminal hydrolase 24,B1AY13,UBP24_MOUSE,UP000000589_mouse_reviewed_can_220920,58221.55469,51843.76953,58295.33203,56658.42578,45982.55078,70693.98438,53495.76172,57582.63672,57317.45313,44651.12891,54088.4375
B1AZI6,B1AZI6,Thoc2,THO complex subunit 2,B1AZI6,THOC2_MOUSE,UP000000589_mouse_reviewed_can_220920,5941.741699,7244.526367,6322.866211,5461.466797,6045.697266,4938.117188,6219.5625,6065.094727,6608.336914,5250.777832,5437.28125
B1AZP2,B1AZP2,Dlgap4,Disks large-associated protein 4,B1AZP2,DLGP4_MOUSE,UP000000589_mouse_reviewed_can_220920,5929.853516,5321.391602,6009.441406,4877.820801,4277.998535,Filtered,3256.922119,2655.982422,3867.654785,4636.262695,3511.366455
B2RQA1,B2RQA1,Kcna10,Potassium voltage-gated channel subfamily A member 10,B2RQA1,KCA10_MOUSE,UP000000589_mouse_reviewed_can_220920,175510.9688,260761.9375,164660.625,176784.0625,248246.3281,303638.3438,90028.89844,300456.125,462723.4063,319315.4375,431706.6563
B2RQC6,B2RQC6,Cad,CAD protein,B2RQC6,PYR1_MOUSE,UP000000589_mouse_reviewed_can_220920,111711.7266,88660.72656,102687.1563,138505.625,55717.35938,105985.6406,82514.13281,44684.46094,99339.23438,45860.36719,75933.90625
B2RRE7,B2RRE7,Otud4,OTU domain-containing protein 4,B2RRE7,OTUD4_MOUSE,UP000000589_mouse_reviewed_can_220920,84858.78906,94866.03125,95718.04688,94234.25,91727.30469,98558.72656,92255.90625,95209.07813,90984.91406,83256.24219,93621.84375
B2RUR8,B2RUR8,Otud7b,OTU domain-containing protein 7B,B2RUR8,OTU7B_MOUSE,UP000000589_mouse_reviewed_can_220920,11120.80957,15785.51172,15759.58008,12166.16895,16683.42188,8339.602539,13650.67969,12889.17969,12430.6709,10720.85742,13621.85156
B2RVY9,B2RVY9,Tmem182,Transmembrane protein 182,B2RVY9,TM182_MOUSE,UP000000589_mouse_reviewed_can_220920,385743.0938,251625.4219,363710.2813,442134.0313,303170.6563,158541.0938,426332.4375,281511.5313,156938.5781,259894.625,233445.3594
B2RXC1,B2RXC1,Trappc11,Trafficking protein particle complex subunit 11,B2RXC1,TPC11_MOUSE,UP000000589_mouse_reviewed_can_220920,4574.498535,4319.061523,4749.147949,4713.528809,2833.494629,3397.400879,4949.32666,5010.399414,5918.989746,4641.121094,4163.094238
B2RXS4,B2RXS4,Plxnb2,Plexin-B2,B2RXS4,PLXB2_MOUSE,UP000000589_mouse_reviewed_can_220920,388322,370353.5625,372498.0313,367189,329069.9375,302007.7813,303083.5313,284904,287952.3125,261979.1406,305339.6875
B2RY56,B2RY56,Rbm25,RNA-binding protein 25,B2RY56,RBM25_MOUSE,UP000000589_mouse_reviewed_can_220920,68394.15625,59624.70703,78737.26563,82905.9375,67661.96094,75426.46875,71024.97656,60190.33203,78610.125,65071.99609,62827.37891
B7ZMP1,B7ZMP1,Xpnpep3,Xaa-Pro aminopeptidase 3,B7ZMP1,XPP3_MOUSE,UP000000589_mouse_reviewed_can_220920,110061.5781,100420.6797,98729.05469,100972.8359,93197.03125,140930.1406,137441.5313,136245.125,101057.2031,96970.78125,114076.5859
B8JK39,B8JK39,Itga9,Integrin alpha-9,B8JK39,ITA9_MOUSE,UP000000589_mouse_reviewed_can_220920,17366.74023,16733.2793,18972.89844,16942.86328,17754.22461,13989.90039,6755.973633,12196.19531,12502.78613,10145.45117,7643.905762
B9EJ86,B9EJ86,Osbpl8,Oxysterol-binding protein-related protein 8,B9EJ86,OSBL8_MOUSE,UP000000589_mouse_reviewed_can_220920,542610.1875,601602,531741.6875,523080.125,590619.8125,504587.4375,509434.5625,483977.6563,522213.9688,281891.125,539762.3125
B9EJR8,B9EJR8,Dnaaf5,Dynein axonemal assembly factor 5,B9EJR8,DAAF5_MOUSE,UP000000589_mouse_reviewed_can_220920,4338.199219,2497.334473,2560.941406,3030.158447,1791.742188,4677.889648,4343.163574,3042.378662,2170.154053,3289.767334,2186.469238
C0HKD8;C0HKD9,C0HKD8;C0HKD9,Mfap1a;Mfap1b,Microfibrillar-associated protein 1A;Microfibrillar-associated protein 1B,C0HKD8;C0HKD9,MFA1A_MOUSE;MFA1B_MOUSE,UP000000589_mouse_reviewed_can_220920,13724.12988,10069.21191,13230.89355,13701.36133,8977.696289,6991.427734,12397.54785,6809.270508,10341.83105,7292.491699,7141.933594
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7,H2ac4;H2ac6;H2ac7;H2ac8;H2ac11;H2ac13;Hist1h2an;Hist1h2ao;Hist1h2ap;H2aw;Hist1h2af;H2ac12;H2ac15,Histone H2A type 1-B;Histone H2A type 1-C;Histone H2A type 1-D;Histone H2A type 1-E;Histone H2A type 1-G;Histone H2A type 1-I;Histone H2A type 1-N;Histone H2A type 1-O;Histone H2A type 1-P;Histone H2A type 3;Histone H2A type 1-F;Histone H2A type 1-H;Histone H2A type 1-K,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7,H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1G_MOUSE;H2A1I_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE;H2A1F_MOUSE;H2A1H_MOUSE;H2A1K_MOUSE,UP000000589_mouse_reviewed_can_220920,21979948,18091602,16356619,24860074,17596698,26494946,21965980,23921296,31011054,21806166,20714106
C0HKG5;C0HKG6,C0HKG5;C0HKG6,Rnaset2a;Rnaset2b,Ribonuclease T2-A;Ribonuclease T2-B,C0HKG5;C0HKG6,RNT2A_MOUSE;RNT2B_MOUSE,UP000000589_mouse_reviewed_can_220920,34422.59766,33355.01953,32856.93359,34764.78516,34406.0625,38746.11719,36980.56641,29729.08984,36122.20703,24091.44922,39387.10156
D0QMC3,D0QMC3,Mndal,Myeloid cell nuclear differentiation antigen-like protein,D0QMC3,MNDAL_MOUSE,UP000000589_mouse_reviewed_can_220920,97242.58594,85241.16406,81434.27344,102202.875,94195.72656,57111.93359,63321.61719,70890.49219,91995.82813,67767.84375,66802.25781
D3YXK2,D3YXK2,Safb,Scaffold attachment factor B1,D3YXK2,SAFB1_MOUSE,UP000000589_mouse_reviewed_can_220920,175791.5625,189705.5,190259.5156,174002.25,192907.5938,176035.2969,169301.7969,175796.5781,179801.9688,132440.7813,165878.2344
D3YYU8,D3YYU8,Obsl1,Obscurin-like protein 1,D3YYU8,OBSL1_MOUSE,UP000000589_mouse_reviewed_can_220920,195619.2188,188542.4375,199203.2813,202015.9688,216551.7188,182266.0938,156891.3906,175730.2813,151055.4531,150885.8438,175475.6875
D3YZF7,D3YZF7,Vsig10l,V-set and immunoglobulin domain-containing protein 10-like,D3YZF7,VS10L_MOUSE,UP000000589_mouse_reviewed_can_220920,82587.80469,86970.17969,72368.28125,69461.64063,91974.45313,81338.36719,75413.20313,85663.66406,89191.11719,87688.71094,82146.42969
D3YZG8,D3YZG8,Mthfd2l,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2, mitochondrial",D3YZG8,MTD2L_MOUSE,UP000000589_mouse_reviewed_can_220920,32720.4082,30199.15625,28708.12305,25623.37695,30035.99414,31498.73438,21428.51367,24997.62305,22150.73828,19934.91797,27604.98828
D3Z1D3,D3Z1D3,CEFIP,Cardiac-enriched FHL2-interacting protein,D3Z1D3,CEFIP_MOUSE,UP000000589_mouse_reviewed_can_220920,25489.32617,25178.35156,29631.93164,23751.9082,31569.86914,34167.86328,29179.19727,22969.59961,25039.11133,31396.24414,25631.88477
D3Z6Q9,D3Z6Q9,Bin2,Bridging integrator 2,D3Z6Q9,BIN2_MOUSE,UP000000589_mouse_reviewed_can_220920,9252.748047,Filtered,10189.27441,2657.163086,Filtered,4859.192871,10740.41406,Filtered,11236.83594,Filtered,2388.147705
D3Z7H8,D3Z7H8,Cilp2,Cartilage intermediate layer protein 2,D3Z7H8,CILP2_MOUSE,UP000000589_mouse_reviewed_can_220920,229366.2031,248570.125,308607.0313,235239.0625,164298.4063,181612.2344,194075.8438,237924.8594,201489.3594,127527.0547,243470.1406
D3Z7P3,D3Z7P3,Gls,"Glutaminase kidney isoform, mitochondrial",D3Z7P3,GLSK_MOUSE,UP000000589_mouse_reviewed_can_220920,464615.1563,458404.6875,457305.9688,416173.75,492010.2188,430154.0938,387010.6875,412444.0313,363722.4375,348246.0625,375458.875
D3Z7Q2,D3Z7Q2,Smim20,Small integral membrane protein 20,D3Z7Q2,SIM20_MOUSE,UP000000589_mouse_reviewed_can_220920,802998.5,996629,921559.125,779714.9375,860003.125,785883.75,658268.5625,678238.9375,591204,647641.375,657904.4375
E0CYV9,E0CYV9,,Uncharacterized protein C4orf54 homolog,E0CYV9,CD054_MOUSE,UP000000589_mouse_reviewed_can_220920,134153.375,105829.2656,95789.67188,117330.8672,94326.3125,101731.2031,115107.0938,91069.86719,57390.55078,59069.64453,82375.49219
E1U8D0,E1U8D0,Soga1,Protein SOGA1,E1U8D0,SOGA1_MOUSE,UP000000589_mouse_reviewed_can_220920,Filtered,NaN,Filtered,11568.2168,Filtered,Filtered,Filtered,Filtered,Filtered,612.6568604,Filtered
E9PV24,E9PV24,Fga,Fibrinogen alpha chain,E9PV24,FIBA_MOUSE,UP000000589_mouse_reviewed_can_220920,799319.375,1126024.875,1254268.625,959616.375,849117.5625,892451.6875,1127869.25,1266341.375,1432769.125,1440652.5,951592.125
E9PVA8,E9PVA8,Gcn1,eIF-2-alpha kinase activator GCN1,E9PVA8,GCN1_MOUSE,UP000000589_mouse_reviewed_can_220920,3147973.5,2887229.5,3074792.5,2979581.5,2711897.75,3029126.75,3031444,2815407.25,2922558.5,2394324.25,2690425.5
E9PYK3,E9PYK3,Parp4,Protein mono-ADP-ribosyltransferase PARP4,E9PYK3,PARP4_MOUSE,UP000000589_mouse_reviewed_can_220920,16828102,14470587,13708955,13788533,16557619,17155810,13493319,16962910,10915471,14215986,14015260
E9PZQ0,E9PZQ0,Ryr1,Ryanodine receptor 1,E9PZQ0,RYR1_MOUSE,UP000000589_mouse_reviewed_can_220920,32909.40625,39489.69531,47059.44141,66253.88281,46493.11328,69438.875,74776.92969,89285.24219,46996.47656,47592.76953,50244.74219
E9Q137,E9Q137,Tex264,Testis-expressed protein 264 homolog,E9Q137,TX264_MOUSE,UP000000589_mouse_reviewed_can_220920,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,0.284589171,Filtered,Filtered,NaN
E9Q1P8,E9Q1P8,Irf2bp2,Interferon regulatory factor 2-binding protein 2,E9Q1P8,I2BP2_MOUSE,UP000000589_mouse_reviewed_can_220920,6917.90332,4961.033203,7371.816895,4895.026855,4601.705078,4729.697754,6332.838379,4865.669922,5944.213867,3659.119629,3994.880371
E9Q236,E9Q236,Abcc4,ATP-binding cassette sub-family C member 4,E9Q236,MRP4_MOUSE,UP000000589_mouse_reviewed_can_220920,15934.35156,13910.73535,16535.89648,14126.93848,17332.59766,18332.38281,14664.40332,16085.14551,21030.49219,18984.69141,18404.3457
E9Q394,E9Q394,Akap13,A-kinase anchor protein 13,E9Q394,AKP13_MOUSE,UP000000589_mouse_reviewed_can_220920,2424.262939,1743.608154,932.8406982,264.4388733,Filtered,1294.667847,NaN,560.4738159,1985.68103,125.5327072,1301.273804
E9Q3L2,E9Q3L2,Pi4ka,Phosphatidylinositol 4-kinase alpha,E9Q3L2,PI4KA_MOUSE,UP000000589_mouse_reviewed_can_220920,61680.03125,55277.15234,58645.76563,55270.11719,47626.26563,51297.42578,56318.04688,52386.58203,44311.05078,43843.89844,53833.38672
E9Q401,E9Q401,Ryr2,Ryanodine receptor 2,E9Q401,RYR2_MOUSE,UP000000589_mouse_reviewed_can_220920,3504444,4110662.75,3758292.75,3325204.75,3358218,4368644.5,4782002,4472097.5,3173086.5,3920600.75,4328751.5
E9Q414,E9Q414,Apob,Apolipoprotein B-100,E9Q414,APOB_MOUSE,UP000000589_mouse_reviewed_can_220920,16611.04688,13132.86816,16555.74609,15944.50879,12808.01953,13642.39648,14114.58887,9995.251953,13231.31836,10851.23242,10384.48242
E9Q4P1,E9Q4P1,Wdfy1,WD repeat and FYVE domain-containing protein 1,E9Q4P1,WDFY1_MOUSE,UP000000589_mouse_reviewed_can_220920,44426.61328,37755.27344,36523.77734,33794.02344,27621.06445,6232.415527,Filtered,Filtered,Filtered,6365.590332,Filtered
E9Q4Z2,E9Q4Z2,Acacb,Acetyl-CoA carboxylase 2,E9Q4Z2,ACACB_MOUSE,UP000000589_mouse_reviewed_can_220920,639465.625,624437.0625,634643.6875,609761.0625,578073.375,787657.1875,759537.3125,790759.625,737583.75,708241.1875,736387.25
E9Q555,E9Q555,Rnf213,E3 ubiquitin-protein ligase RNF213,E9Q555,RN213_MOUSE,UP000000589_mouse_reviewed_can_220920,155762.9375,183805.9063,210196.8125,162571.5469,122997.6797,178299.7031,197635.6875,174490.6406,155412.6719,118715.0156,166265.6094
E9Q557,E9Q557,Dsp,Desmoplakin,E9Q557,DESP_MOUSE,UP000000589_mouse_reviewed_can_220920,1716322.25,1781838,1788899.25,1670801.75,1785216.875,1803685.75,1724430.125,1669694.625,1599037.75,1665400.25,1864564
E9Q5C9,E9Q5C9,Nolc1,Nucleolar and coiled-body phosphoprotein 1,E9Q5C9,NOLC1_MOUSE,UP000000589_mouse_reviewed_can_220920,Filtered,14794.99512,Filtered,677.508728,12202.69629,1214.47522,Filtered,11476.87109,7848.667969,8037.560547,10466.53906
E9Q6B2,E9Q6B2,Ccdc85c,Coiled-coil domain-containing protein 85C,E9Q6B2,CC85C_MOUSE,UP000000589_mouse_reviewed_can_220920,2583.438721,3862.539307,3539.165771,3924.688477,5031.030273,3739.207764,3944.976563,5909.172363,4233.433594,5055.778809,5218.038086
E9Q6J5,E9Q6J5,Bod1l,Biorientation of chromosomes in cell division protein 1-like 1,E9Q6J5,BD1L1_MOUSE,UP000000589_mouse_reviewed_can_220920,Filtered,2222.383545,Filtered,Filtered,2612.138428,Filtered,Filtered,2560.937012,Filtered,2128.641602,Filtered
E9Q6P5,E9Q6P5,Ttc7b,Tetratricopeptide repeat protein 7B,E9Q6P5,TTC7B_MOUSE,UP000000589_mouse_reviewed_can_220920,37874.63281,35812.40625,40946.73438,35497.94922,44442.63672,48481.07422,35840.27734,34816.51563,35020.94531,30147.36523,35234.13672
E9Q735,E9Q735,Ube4a,Ubiquitin conjugation factor E4 A,E9Q735,UBE4A_MOUSE,UP000000589_mouse_reviewed_can_220920,15749.44824,16381.21484,16739.76563,11737.42285,13295.85254,18153.83984,14235.19434,15741.63867,20054.52734,11265.11914,18165.54883
E9Q7G0,E9Q7G0,Numa1,Nuclear mitotic apparatus protein 1,E9Q7G0,NUMA1_MOUSE,UP000000589_mouse_reviewed_can_220920,76601.46875,80143.625,79576.03125,73600.78906,81851.82031,65979.01563,62219.92578,70052.17969,82973.59375,65484.89063,71705.86719
E9Q8I9,E9Q8I9,Fry,Protein furry homolog,E9Q8I9,FRY_MOUSE,UP000000589_mouse_reviewed_can_220920,17749.21875,18624.375,17554.83984,17679.20313,18699.70313,15084.1709,19097.35156,20204.95703,17600.0918,19814.94727,24434.05469
E9Q8T7,E9Q8T7,Dnah1,Dynein axonemal heavy chain 1,E9Q8T7,DYH1_MOUSE,UP000000589_mouse_reviewed_can_220920,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,NaN,Filtered
E9Q912,E9Q912,Rap1gds1,Rap1 GTPase-GDP dissociation stimulator 1,E9Q912,GDS1_MOUSE,UP000000589_mouse_reviewed_can_220920,55604.55469,53731.48438,60133.38672,47499.55078,46929.67969,59077.07031,56253.82813,59852.33984,44182.10156,49143.66016,52620.48047
E9Q942,E9Q942,Smim13,Small integral membrane protein 13,E9Q942,SIM13_MOUSE,UP000000589_mouse_reviewed_can_220920,19201.78516,15520.70898,11458.85254,13180.38574,13568.10254,21926.84961,27017.55078,23910.55859,21830.91406,25594.05273,23560.80859
