Location	chr	gene_name
31758660	1	MIR4254
121370972	X	MIR3672
23156309	14	RNU6-1138P
39888375	7	RN7SL496P
122146522	11	MIRLET7A2
12904817	11	RF00424
21933143	10	RN7SKP37
111271156	9	MIR7702
157985789	2	RNU6-932P
18343038	14	RNU6-458P
150492345	1	MIR6878
222503632	1	RNU6-791P
169263601	5	MIR585
75431990	17	RF00019
76469508	16	RF00133
103154614	8	MIR3151
20421583	6	RN7SL128P
17980868	22	MIR648
182314284	2	RN7SL267P
173268160	4	MIR548T
114656759	4	MIR577
28927983	2	SNORD53B
11844908	CHR_HSCHR3_1_CTG1	AC090958.3
151368334	2	MIR4773-2
39411910	4	MIR5591
129272146	3	MIR6826
178038902	2	RNU6-629P
33001950	7	RNU6-388P
63919449	20	MIR941-1
53701227	19	MIR520B
49806137	3	MIR5193
42881236	8	RN7SL806P
62814382	3	RNU6-139P
31607186	20	MIR3193
156186122	7	RF00019
29070496	5	RF00425
60719640	2	RNU6-612P
32635255	2	MIR4765
47380496	18	MIR4527
12700758	7	RF00264
188978093	2	MIR1245B
49009906	19	MIR6798
56316524	19	RF00019
80419418	17	MIR4730
2250639	19	MIR4321
84642487	15	RF00017
39874255	22	RN7SKP210
49814133	18	SCARNA17
53752397	19	MIR519A1
11152350	1	RNU6-537P
58335976	17	MIR4736
14850429	9	RNU6-1260P
39283657	2	RF00272
53702737	19	MIR518B
29747442	CHR_HSCHR6_MHC_MANN_CTG1	RF00019
70079372	15	MIR629
59137758	17	MIR454
71815494	8	RF00096
35122700	19	MIR6887
2199762	17	RN7SL624P
170330761	6	MIR4644
62823957	15	MIR190A
49814361	18	RF00283
56904264	16	MIR6863
13297705	CHR_HSCHR1_2_CTG3	RF00026
130069541	8	RNU6-1255P
78532813	17	RN7SL454P
111304142	12	MIR6760
211803017	1	RF00019
30843823	1	RN7SKP91
28927243	2	RF00019
112299612	10	MIR6715A
25184306	15	SNORD115-8
25455646	22	MIR6817
108926435	12	RNU6-361P
120723193	12	MIR4700
10857899	17	RNU6-1065P
233275727	2	SCARNA5
44408120	20	MIR3646
74399237	11	MIR548AL
34206134	9	RNA5SP282
15311345	17	RNU6-799P
39726495	17	MIR4728
75120265	15	RF00017
37480230	1	MIR6732
130914340	3	RF00019
21307731	CHR_HSCHR15_1_CTG1	RF00026
36010098	11	MIR3973
15010321	16	MIR1972-1
111771061	2	MIR4771-2
55551810	17	RNU6-1249P
231501990	2	RNU2-22P
43239921	17	RF00004
158909373	4	RF00157
9437669	1	RNA5SP40
45436654	19	MIR6088
51242190	15	MIR4713
15022852	20	RNU6-115P
180438314	1	MIR3121
51162901	12	RNU6-199P
11495544	19	MIR7974
43793659	15	MIR1282
27919384	22	RF02198
228621447	1	RNA5S6
23613661	3	RNU6-922P
228614750	1	RNA5S3
87834592	16	MIR6775
24564630	2	RNA5SP88
36072686	9	RF02275
52551846	3	RNU6-856P
29599179	16	MIR3680-2
104048089	10	MIR936
42939	GL000195.1	AC011043.1
20679411	14	RF00019
15273855	22	RF00026
55885595	4	RNU6-652P
18379351	16	MIR6770-3
30368597	10	MIR7162
99145840	9	RNA5SP290
150955494	X	RNU6-383P
31478417	CHR_HSCHR15_4_CTG8	KLF13
64762387	15	MIR1272
39369153	19	RN7SL566P
73732569	7	RN7SL265P
25074114	15	SNORD116-10
225922080	1	MIR6741
25247345	15	SNORD115-42
12333644	8	RNA5SP254
161227186	1	MIR5187
101054306	14	MIR382
77779904	1	RNA5SP21
55501595	4	RF00019
102045934	13	MIR4705
32556348	CHR_HSCHR6_MHC_APD_CTG1	RF00003
18336960	Y	RF01518
92402389	1	RN7SL824P
120155434	12	MIR4498
68858934	18	RNU6-39P
187423315	3	RF01210
42511570	2	RF00017
71473503	11	MIR6754
121949412	10	RF02219
54770949	17	RN7SKP14
89621918	14	RN7SKP107
28526012	CHR_HSCHR6_MHC_COX_CTG1	GPX5
64994746	2	RNU6-548P
235190034	1	MIR4753
142318047	5	RF02039
48987915	13	RNU6-60P
11753666	16	RF00017
126779702	10	RF00271
31382317	18	RF00019
54972989	CHR_HSCHR19LRC_LRC_S_CTG3_1	NLRP2
49330210	8	RN7SKP294
54115536	CHR_HSCHR19LRC_LRC_T_CTG3_1	PRPF31
51907200	15	RNU6-90P
41190927	19	RN7SL718P
1996540	11	RF01972
30043801	8	RNU6-1218P
47667771	8	RNU6-665P
43702363	15	RNU6-353P
134169671	X	MIR19B2
89120779	15	RNU7-195P
63102142	20	RF00635
25555543	3	RF01161
132835374	12	RNU6-327P
54942736	CHR_HSCHR19LRC_COX1_CTG3_1	GP6
15877163	16	RNU6-213P
179629151	5	RF00017
31392641	CHR_HSCHR6_MHC_COX_CTG1	RF00019
198071311	3	RNU6-821P
25097663	15	SNORD116-25
17568962	Y	RF01518
143699456	1	RNVU1-17
72967687	6	MIR4282
73529051	10	RNU6-883P
18113467	20	RF00019
116850277	3	MIR4447
127841112	9	RNA5SP296
228619232	1	RNA5S5
49543393	22	MIR3667
14553702	12	RN7SKP134
77041647	7	RF00019
25209918	15	SNORD115-22
62850738	12	RNU1-83P
212926257	2	MIR4776-1
83636196	4	RF00019
21817624	18	RF00045
155120490	1	RF00019
149631437	6	RF00019
12737367	2	MIR3125
20136066	X	RF00493
6057500	7	RNU6-218P
94025470	13	RNA5SP35
85367585	2	RF00019
45856307	10	RNA5SP310
2131851	16	RF00019
104218789	10	MIR609
71020275	X	RNU1-56P
92974827	1	RN7SL692P
31527123	CHR_HSCHR6_MHC_SSTO_CTG1	SNORD117
44778390	1	SNORD38B
188716665	4	RNU7-192P
37435115	7	RF00019
144520456	2	RF01986
155946797	6	MIR1202
82001220	X	RNU6-974P
40854119	20	RNA5SP484
27315120	CHR_HSCHR10_1_CTG1	RF00026
82403250	CHR_HSCHR15_5_CTG8	AC011295.1
72821933	16	RNU7-71P
26008940	15	RF00554
129097688	5	MIR4633
56340231	7	RNU6-1335P
54173854	CHR_HSCHR19LRC_LRC_J_CTG3_1	MBOAT7
75404421	11	SNORD15B
181738606	2	RNU6ATAC19P
38565950	6	RF00019
155358712	1	RNU6-106P
17075779	11	SNORD14B
112025	GL000220.1	RNA5-8SN5
33103008	3	RN7SL296P
134849609	9	MIR3689D1
49020148	3	MIR425
15433110	3	RNU6-1024P
226445937	1	RN7SKP165
176150303	2	MIR10B
127785918	9	MIR2861
88201703	4	RNU6-818P
18095571	20	RNU7-137P
110764408	1	RF00019
6207163	17	RNU6-1264P
52852607	10	RF00019
175167633	2	MIR933
71307674	7	MIR3914-2
103433461	7	RF00019
23641489	3	RNU6-788P
130869736	12	RNU6-1077P
30814786	CHR_HSCHR6_MHC_MCF_CTG1	RF00019
50054143	16	RF00017
53713347	19	MIR519D
64066640	1	RF00019
58631641	17	RF00012
25081287	15	SNORD116-15
91674857	2	RNA5SP100
54138182	CHR_HSCHR19LRC_PGF2_CTG3_1	CNOT3
127587111	3	MIR7976
35591737	18	MIR3975
107374747	12	RF00284
53265461	4	RNU6-310P
13596236	X	RN7SKP20
77089417	17	MIR6516
13459670	12	RNU6-590P
63919868	20	MIR941-5
35754046	16	RNA5SP420
74680053	X	RNU6-330P
212426263	2	MIR548F2
35372256	15	MIR3942
118970498	11	RF00019
179097731	3	RF00019
25227109	15	SNORD115-31
104117418	14	MIR203B
51206929	19	MIR8074
41684986	20	RNU6-1018P
43919795	21	RNU6-859P
69530371	CHR_HSCHR5_2_CTG1_1	RF00026
85264296	1	RF00019
49500785	19	MIR150
122416965	10	MIR3941
110756456	10	RN7SKP288
32720817	CHR_HSCHR6_MHC_MANN_CTG1	RF00003
81125276	17	MIR657
30710537	16	SNORA30
71858570	15	RNA5SP399
49982443	15	RNA5SP394
76287630	16	RN7SKP233
43412427	17	RNU6-470P
49510817	17	MIR6165
168375524	1	MIR557
116582552	3	RN7SL582P
93437400	CHR_HSCHR14_7_CTG1	RNU6-1258P
119007571	5	RNU6-373P
81611348	16	MIR6504
1586202	CHR_HSCHR11_1_CTG6	AP006285.3
73858061	14	RF00019
63549133	1	RF02109
100330777	7	RF00019
40757284	1	MIR30C1
24905469	9	RMRPP5
21513959	15	MIR5701-2
31598099	8	RNA5SP261
49042341	15	RN7SL577P
13696070	1	RF00564
23957418	CHR_HSCHR22_1_CTG7	GSTT2B
93721542	11	RF00494
121603073	2	RF00019
26366301	18	RNU6-1289P
49913493	14	RF00017
109014834	5	RNU6-47P
101056219	14	MIR323B
154259727	1	SNORA58B
102131007	5	RNA5SP188
12087396	8	RNA5SP253
40377452	4	RNU7-74P
55128285	13	RF02271
100963054	14	SNORD114-7
133531723	X	RNU6-203P
31787148	19	RNU6-967P
31563664	CHR_HSCHR6_MHC_APD_CTG1	RF00019
47979414	8	RNU6-519P
100319073	14	RN7SL523P
31161534	CHR_HSCHR6_MHC_MCF_CTG1	RF00026
75928513	6	RF00019
227887631	2	RF00402
229383128	1	RNU6-180P
18395994	X	RF00019
44932323	1	RNA5SP47
40492844	X	RF00019
140579667	5	RF00443
129484504	7	RNU1-72P
34556226	14	RNU1-28P
192775943	2	RF01981
95745804	15	RNU2-3P
123814077	3	RF00392
166042244	1	RNA5SP64
61417244	2	SNORA70B
54156127	CHR_HSCHR19LRC_LRC_I_CTG3_1	LENG1
127316873	2	RNU6-1147P
28629794	13	RF00019
54069947	CHR_HSCHR19LRC_COX2_CTG3_1	TARM1
98804978	3	RNU6-26P
64834056	2	RF00019
31388733	22	RNU6-338P
36639545	6	RNU1-88P
28642979	22	RN7SL162P
150209706	4	RNU7-194P
148389645	7	RF00012
586517	18	RN7SKP146
144007227	6	RF02143
43473013	20	RNU6-1251P
35632963	5	RNU7-130P
30816156	20	RNA5SP528
12706449	19	SNORD41
26136880	8	RNA5SP258
38680006	9	RNU6-765P
15431899	9	RNU6-319P
21392150	14	SNORD9
1570575	19	RN7SL477P
59574103	15	RNA5SP396
68885576	16	RF00019
127406028	11	RN7SKP121
149610668	2	RNU6-601P
63655743	1	RN7SL130P
155925958	1	SCARNA4
92837289	1	SNORD21
226968989	2	RF00554
82307067	2	RF00019
153266909	4	RF00019
33899135	6	MIR7159
54156127	CHR_HSCHR19LRC_LRC_S_CTG3_1	LENG1
156192063	1	RF00568
72169467	5	MIR4803
120228046	1	RF00100
73095357	7	RF00019
231814982	1	RF02102
132115192	6	MIR548AJ1
25249198	15	SNORD115-43
122671291	8	RF01210
134928039	5	MIR4461
113681111	2	RNU6-744P
6938606	6	RN7SL554P
7118785	12	RNU6-485P
417283	KI270727.1	AC171558.4
440399	11	RN7SL838P
7066964	7	MIR3683
119341834	3	RNU6-1127P
75789477	1	SNORD45B
50244628	15	RN7SL494P
7112088	4	RN7SKP36
10666978	8	MIR4286
15782341	17	RNA5SP436
44937426	2	RF02250
123348034	8	MIR548AA1
68911653	10	RNU6-571P
8961575	8	RF00156
115833273	7	RF00019
171366118	5	SNORA70J
130626297	9	MIR6856
72586680	13	RF00411
20316755	20	RN7SL690P
58363438	19	RNA5SP473
144262673	8	MIR7112
193740471	3	RN7SL447P
27096124	7	RF01975
206701065	2	RF00019
65807240	4	RNU2-40P
2609191	X	MIR6089
77587049	10	RNA5SP321
102678707	X	RNU6-589P
577	MT	MT-TF
648	MT	MT-RNR1
1602	MT	MT-TV
1671	MT	MT-RNR2
3230	MT	MT-TL1
3307	MT	MT-ND1
4263	MT	MT-TI
4329	MT	MT-TQ
4402	MT	MT-TM
4470	MT	MT-ND2
5512	MT	MT-TW
5587	MT	MT-TA
5657	MT	MT-TN
5761	MT	MT-TC
5826	MT	MT-TY
5904	MT	MT-CO1
7446	MT	MT-TS1
7518	MT	MT-TD
7586	MT	MT-CO2
8295	MT	MT-TK
31575411	17	MIR365B
174557966	2	RNU6-5P
8366	MT	MT-ATP8
117020211	7	MIR6132
112352556	11	RNU6-44P
159178473	1	RNA5SP60
8527	MT	MT-ATP6
9600097	16	RNA5SP404
15643294	16	MIR484
9207	MT	MT-CO3
28580381	1	SNORA44
9991	MT	MT-TG
10059	MT	MT-ND3
10405	MT	MT-TR
10470	MT	MT-ND4L
36405198	CHR_HSCHR17_7_CTG4	RF00026
18248389	11	RNA5SP333
54899032	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	RF00026
87041238	10	RNU6-529P
10760	MT	MT-ND4
79301963	6	RF00019
2585	KI270721.1	AC004556.1
12138	MT	MT-TH
155919909	1	SNORA80E
12207	MT	MT-TS2
12266	MT	MT-TL2
28579764	1	SNORA61
12337	MT	MT-ND5
32563075	21	RNA5SP490
88513498	14	RNU4-22P
14149	MT	MT-ND6
33576095	12	RNU6-400P
48578902	3	MIR711
14674	MT	MT-TE
136133696	5	RF02174
14747	MT	MT-CYB
232832017	1	RNU1-74P
32672452	CHR_HSCHR6_MHC_MANN_CTG1	RF00003
15888	MT	MT-TT
42569033	1	RNU6-536P
15956	MT	MT-TP
91356755	3	RF01699
111321013	2	MIR4435-2
85306226	16	MIR5093
2184710	5	RF00019
53708735	19	MIR518C
110684794	5	RF00432
41573512	9	RF00156
2674097	11	RF01947
32269338	1	RF00017
78367507	10	RF00056
13623184	1	RNA5SP41
100981975	14	SNORD114-21
8831186	20	RNU105B
124607159	9	RN7SL302P
119862662	8	RN7SL396P
166053187	4	RNA5SP170
45740978	CHR_HSCHR17_1_CTG5	RF00017
121653994	3	RN7SL172P
206161841	2	RF00134
125417305	9	RF00017
98026042	15	RF00026
97081674	X	RF00017
89282223	12	RNU7-120P
28495555	X	MIR6134
13627865	4	MIR5091
44932320	2	RF02246
38429670	20	SNORA71C
110224985	X	SNORD96B
112648485	4	MIR302B
6223480	21	RF00019
9072455	8	RNU7-55P
38516563	20	MIR548O2
45002864	15	RNU1-78P
224179641	1	RF00139
27252119	X	RF00019
75644084	6	RNU6-1016P
100551820	15	RNU6-322P
129164849	7	RNY1P11
99643059	13	MIR4306
15542165	1	SCARNA21B
22130603	18	RNU6ATAC20P
81265747	13	RNU6-77P
30816030	16	RF00017
136430084	3	RNU6-1284P
37434469	14	RNU6-886P
9411178	4	RNA5SP153
74376687	8	RF00019
50009722	X	MIR501
97363554	9	MIR1302-8
34940760	7	MIR548N
35249772	22	RNU7-167P
2257515	7	MIR6836
32639951	1	RF00019
61816419	1	RNU6-414P
100189884	12	MIR1827
197674496	3	MIR922
86336318	4	RN7SKP96
39664034	13	MIR4305
100973595	14	SNORD114-16
20355748	21	RNU6-772P
55123225	19	MIR7975
64622509	12	MIR548C
109992325	4	RNU6-35P
45071442	17	RF00019
49682117	19	MIR5088
6873899	16	RNU6-457P
118593988	11	RNU6-1157P
109005517	11	RNU6-654P
81533902	16	MIR7854
73039085	7	RF00019
77895880	7	RF00019
147877422	2	RNU6-1275P
16399228	CHR_HSCHR16_1_CTG1	RF00019
40331537	15	RNA5SP392
103924540	4	RNU6-635P
59291052	11	RN7SL435P
25203227	15	SNORD115-18
121061172	4	RN7SKP137
118279190	4	SNORA24
74162340	15	RF00017
121107043	12	RF00156
97721716	12	RNU6-36P
143542110	8	RN7SKP175
123070782	5	RN7SL711P
38274448	12	RF00019
133644598	8	RF00561
25208083	15	SNORD115-21
175176493	2	RF00019
32202045	14	RNU6-7
116716460	3	RF01879
180758722	1	RF00026
120354987	1	RF00003
9133828	X	RNA5SP499
143791542	1	RNU1-143P
196747192	3	RNU4-89P
26642286	1	RF01210
103974515	10	RN7SL524P
93509487	12	RN7SL737P
8796571	1	RF00019
139221758	5	RNU6-572P
43247680	15	RF00019
84205454	15	RN7SL331P
2527074	7	MIR4648
121040610	2	RF00019
95792529	12	RNU6-247P
52494849	4	RNU6-1252P
143542110	CHR_HSCHR8_3_CTG7	RN7SKP175
36852640	15	RF00012
31360234	CHR_HSCHR6_MHC_QBL_CTG1	RF00026
20095733	15	RN7SL584P
55021410	CHR_HSCHR19LRC_LRC_S_CTG3_1	GP6
121453981	6	RNU4-35P
196399911	3	RN7SL738P
190553264	2	RN7SKP179
60488078	5	RF02160
27193358	10	RNU2-24P
41712479	20	RF00568
145850587	1	MIR6736
74274341	X	RF02119
49839725	14	RNU6-539P
33580210	8	RN7SL621P
21471058	7	MIR1183
237555040	1	RF00402
74490959	15	RF00591
59711	KI270734.1	AC007325.3
10881011	CHR_HSCHR12_3_CTG2	AC006518.8
67839939	15	RNU6-1
124932915	2	RNA5SP102
31413150	CHR_HSCHR6_MHC_MANN_CTG1	RF00026
106850885	14	MIR5195
73192223	10	RF00019
75785134	15	RN7SL319P
73833773	8	RN7SL760P
98074667	15	RNU6-1186P
228639337	1	RNA5S14
87910220	3	RNU6ATAC6P
39315213	22	SNORD83A
159230194	5	RF00263
32179816	6	MIR6833
75057877	7	RF00017
122492113	12	RF00411
27088321	10	RNU6-490P
112634719	1	RNU7-70P
154821943	5	RF00017
75630763	3	MIR1324
38089399	17	RF00019
129397062	5	MIR4460
148438309	7	RN7SL72P
56245520	16	MIR3935
10736171	22	RF00004
52691378	3	RF00569
12720321	16	MIR4718
51692752	14	RNA5SP385
29333158	22	MIR3653
101040069	14	MIR376A2
80306235	5	RF00322
45004348	20	RF00019
31094350	17	MIR4733
25943044	21	RNU6-123P
19883614	15	RNU6-978P
107901145	X	RF00019
149606637	5	RNU6-588P
135665397	2	MIR128-1
66934434	11	MIR3163
66496958	15	MIR4512
21861	KI270713.1	RF00003
24352057	14	RF00026
45526466	17	RF00017
89063336	10	MIR4679-1
38761528	20	RN7SKP173
16670641	20	RF00019
30242579	CHR_HSCHR15_4_CTG8	RF00017
43458065	10	RNU7-193P
118569405	X	RF00019
104851824	12	RF00019
84196883	5	RNU6-448P
30114397	CHR_HSCHR6_MHC_MCF_CTG1	RF02218
47755853	19	SNORD23
14190700	18	RNU6-316P
85210053	15	RN7SL428P
117017946	8	RN7SL228P
56588518	12	RNU6-343P
56670450	12	RN7SL809P
179492076	5	RF00015
26895678	9	RN7SL100P
54094681	CHR_HSCHR19LRC_COX2_CTG3_1	OSCAR
119768247	10	RN7SL846P
194145674	3	RN7SL215P
11584773	2	RN7SL674P
63848261	14	RF00019
77060143	1	MIR7156
4514952	10	RNU6-163P
46859333	20	RN7SKP33
29060593	CHR_HSCHR6_MHC_COX_CTG1	AL662852.2
54102906	CHR_HSCHR19LRC_LRC_T_CTG3_1	AC012314.9
139231026	4	RNU6-506P
59540126	16	RNU4-58P
7976259	12	RF00019
54069947	CHR_HSCHR19LRC_LRC_S_CTG3_1	TARM1
88051701	12	RNA5SP364
65158662	2	RF00090
44935294	2	RF02248
234904186	1	RN7SL668P
22195469	12	RNU1-149P
172237326	3	RN7SL141P
72965178	4	RNU4ATAC9P
54069947	CHR_HSCHR19LRC_COX1_CTG3_1	TARM1
75214476	3	MIR4444-2
28232501	13	RNU6-82P
54160649	CHR_HSCHR19LRC_LRC_J_CTG3_1	TMC4
54166944	2	RNU7-172P
54048007	5	RN7SL801P
100968948	14	SNORD114-12
18433842	20	RNA5SP476
38531042	7	RN7SL83P
53594	GL000194.1	MAFIP
22266239	1	MIR4418
118931216	11	RN7SL688P
100683488	8	RNU6-1092P
102539644	14	MIR4309
155437538	3	RN7SL715P
106661353	CHR_HSCHR14_3_CTG1	RF00001
45551485	13	RNA5SP27
87743952	4	RF00019
85368282	2	RN7SL113P
23299155	5	RF00019
14601823	16	RN7SL274P
74390692	X	RN7SL790P
37216617	15	RF00017
100957883	8	RN7SL685P
131479097	3	SNORA58
94713715	8	RF00019
125119097	3	RNU6-230P
75183045	1	RNU6-622P
131985855	3	MIR5704
50206998	18	RN7SL310P
116839279	4	RNU6-119P
100356651	7	MIR6840
58677574	17	RNU1-52P
134600257	8	RF02213
54156127	CHR_HSCHR19LRC_LRC_T_CTG3_1	LENG1
69401202	7	RNU6-229P
86235321	3	RNU6-1129P
95310830	13	RNY3P8
35747032	16	RNA5SP413
63536711	1	RNU7-123P
97492462	12	RF01963
23137805	22	RF00066
53776136	7	RNU2-29P
168686608	4	RNU6-1336P
93510548	10	RNA5SP323
43892690	2	RNU6-1048P
45337480	13	SNORA31
140019492	5	RF00019
79843102	4	RF00072
25073107	15	SNORD116-9
59584169	3	RF00017
14250232	12	RNU6-491P
169727872	2	RF00432
31650698	CHR_HSCHR6_MHC_COX_CTG1	RF00019
185014951	1	RNA5SP72
101030052	14	MIR1193
148334479	1	MIR5087
145431527	1	RF00003
2173063	11	MIR4686
53721076	19	MIR517B
106283413	6	RN7SL47P
75353611	15	MIR631
38207274	6	RF00279
144551779	CHR_HSCHR1_4_CTG31	RF00003
54190866	CHR_HSCHR19LRC_LRC_I_CTG3_1	TSEN34
69160806	5	SNORA50D
54102906	CHR_HSCHR19LRC_LRC_J_CTG3_1	AC012314.1
63797784	11	RN7SL596P
57194504	12	MIR1228
150600539	1	RF00561
77947497	13	RN7SL810P
6016996	11	RNA5SP329
54782118	CHR_HSCHR19LRC_PGF2_CTG3_1	RDH13
101472339	12	RNA5SP367
106357658	12	POLR3B
106714924	12	AC079385.3
106015897	12	ST13P3
63320884	1	FOXD3-AS1
62975751	1	LINC01739
63024207	1	AL162400.1
105173296	12	APPL2
190074525	4	DUX4L6
190057902	4	CLUHP4
105107324	12	WASHC4
189193100	4	AC107391.1
159839861	3	SCHIP1
159721524	3	AC092943.1
8822472	12	A2ML1
186286094	4	F11-AS1
155308748	1	FDPS
186265945	4	F11
120438198	12	AL021546.1
120450437	12	RPL31P52
120438090	12	COX6A1
120461668	12	SRSF9
120443961	12	TRIAP1
27206930	1	NPM1P39
120389546	12	AC003982.1
49902228	22	AL671710.1
10284961	4	AC006499.3
94927566	1	AC105942.1
55346347	15	AC018926.3
26911489	1	NR0B2
93924386	1	MTND3P21
157029413	5	HAVCR1
115633542	6	LINC02534
114477350	6	AL138830.2
93866283	1	DNTTIP2
23743155	1	ELOA
154962298	1	SHC1
23385783	8	ENTPD4
18189000	11	GLTPP1
182144852	4	AC108142.1
103525010	14	AL133367.1
56534230	7	AC092447.5
56525428	7	AC092447.3
100336104	7	STAG3L5P-PVRIG2P-PILRB
154941070	5	MRPL22
56322804	7	AC093392.1
61248945	1	NFIA-AS1
117002463	12	AC026368.1
43403061	15	TP53BP1
23557918	1	ID3
98726457	12	ANKS1B
74653437	14	AREL1
68930525	15	NOX5
153967534	1	CREB3L4
156019646	3	VN2R1P
129382922	3	RPL32P3
100052803	14	AL157912.1
99974336	14	AL133368.1
184186023	3	ABCF3
153750983	1	AL513523.3
41459717	22	PHF5A
9896320	17	RCVRN
33589341	21	CRYZL1
127809170	4	AC093591.3
33584687	21	AP000311.1
121502344	1	AL592494.2
141944428	3	TFDP2
121396754	1	AC244021.1
121360156	1	SRGAP2-AS1
52092485	12	AC078864.1
121142051	1	RPL22P6
121087528	1	AC244453.3
20343203	22	AC007731.3
134035832	11	AP000911.2
52648634	15	AC009754.1
153457744	1	S100A7
153373706	1	S100A12
42506465	3	VIPR1-AS1
153330120	1	PGLYRP4
119794018	1	REG4
69353493	12	AC020656.1
153093135	1	SPRR2E
