name	address	postal_code	stars	review_count	Categories
Revolution Taco      	2015 Walnut St	19103	4.0	276	Mexican
Branzino Italian Ristorante     	261 S 17th St	19103	3.5	331	Italian
Mandarin Palace      	1835 Chestnut St	19103	3.5	185	Chinese
Tir na nOg Irish Pub   	1600 Arch Pkwy	19103	3.5	245	American
El Rey      	2013 Chestnut St	19103	3.5	968	Mexican
Stock Rittenhouse      	1935 Chestnut St	19103	3.5	100	American
Mama's Vegetarian      	18 S 20th St	19103	4.5	592	Middle Eastern
Gran Caffe L'Aquila     	1716 Chestnut St	19103	4.5	1138	Italian
Lacroix Restaurant at The Rittenhouse   	210 W Rittenhouse Sq	19103	4.5	434	American
The Foodery at Rittenhouse    	1710 Sansom St	19103	4.0	265	American
Via Locusta      	1723 Locust St	19103	4.5	144	Italian
Casta Diva      	227 S 20th St	19103	4.5	148	Italian
Di Bruno Bros.     	1730 Chestnut St	19103	4.0	550	Italian
P S & Co    	1706 Locust St	19103	4.0	437	American
Tequilas Restaurant      	1602 Locust St	19103	4.0	753	Mexican
Matt & Marie's     	100 N 18th St, Ste 120	19103	4.0	201	Italian
Chix & Bowls     	28 S 20th St	19103	4.0	142	American
Luke's Lobster Rittenhouse     	130 S 17th St	19103	4.5	1161	American
bāo•logy       	1829 John F Kennedy Blvd	19103	4.0	183	Chinese
Indian Cuisine      	1939 Arch St	19103	3.5	106	Indian
Nom Nom Ramen     	20 S 18th St	19103	4.0	531	Japanese
Marathon On the Square    	1839 Spruce St	19103	3.5	265	American
Melograno       	2012 Sansom St	19103	3.5	451	Italian
Tria Cafe Rittenhouse     	123 S 18th St	19103	4.5	880	Italian
Salento       	2216 Walnut St	19103	3.5	113	Italian
Rotisseur       	102 S 21st St	19103	3.5	243	American
Nook Bakery & Coffee Bar   	15 S 20th St	19103	4.5	304	Italian
Twenty Manning      	261 S 20th St	19103	3.5	421	American
Barclay Prime      	237 S 18th St	19103	4.5	789	American
Matyson       	37 S 19th St	19103	4.0	402	American
City Tap House     	100 N18th St	19103	4.0	497	American
Mémé       	2201 Spruce St	19103	4.0	119	American
Pietro's Coal Oven Pizzeria    	1714 Walnut St	19103	3.5	751	Italian
Tinto       	114 S 20th St	19103	4.0	877	European
Metropolitan Bakery      	262 S 19th St	19103	4.0	242	Bakery
Cavanaugh's Rittenhouse      	1823 Sansom St	19103	3.5	226	American
JG SkyHigh      	1 N 19th St, Fl 60	19103	4.0	129	American
Vic Sushi Bar     	2035 Sansom St	19103	4.0	884	Japanese
Dim Sum House     	1930 Chestnut St	19103	4.0	505	Chinese
Aya's Cafe      	2129 Arch St	19103	4.0	198	Middle Eastern
Smith & Wollensky     	Rittenhouse Hotel, 210 W Rittenhouse Sq	19103	3.5	105	American
Sotto       	151 S 24th St	19103	4.0	175	Italian
Le Chéri      	251 S 18th St	19103	4.0	128	European
Veda - Modern Indian Bistro   	1920 Chestnut St	19103	4.0	465	Indian
Alma de Cuba     	1623 Walnut St	19103	4.0	1321	American
Rione       	102 S 21st St	19103	4.5	208	Italian
Wrap Shack      	120 S 18th St	19103	3.5	300	American
Ambrosia Ristorante BYOB     	231 S 24th St	19103	4.5	141	Italian
Thanal Indian Tavern     	1939 Arch St	19103	4.5	240	Indian
Farmer's Keep      	10 S 20th St	19103	4.5	205	American
Zama       	128 S 19th St	19103	3.5	566	Japanese
a.kitchen       	135 S 18th St	19103	3.5	441	American
Machi Sushi Bar     	209 S 20th St	19103	3.5	186	Japanese
Erawan Thai Cuisine     	123 S 23rd St	19103	3.5	411	SE Asian
Food & Friends     	1933 Spruce St	19103	4.0	167	American
Crow and the Pitcher    	267 S 19th St	19103	3.5	162	American
Fuji Mountain      	2030 Chestnut St	19103	4.0	475	Japanese
Dolce Carini      	1929 Chestnut St	19103	4.0	132	Italian
Almaz Cafe      	140 S 20th St	19103	4.0	381	American
Urban Farmer Philadelphia     	1850 Benjamin Franklin Pkwy	19103	4.0	597	American
Shoo Fry      	132 S 17th St	19103	4.0	172	American
Cherry Street Tavern     	129 N 22nd St	19103	4.0	152	American
Agno Grill      	2104 Chestnut St	19103	4.0	225	European
The Continental Mid-town     	1801 Chestnut St	19103	3.5	1682	American
Rachael's Nosheri      	120 S 19th St	19103	3.5	135	American
Dizengoff       	1625 Sansom St	19103	4.5	725	Middle Eastern
SUGA       	1720 Sansom St	19103	3.5	166	Chinese
Underdogs       	132 S 17th St	19103	3.5	252	American
Bar Bombón      	133 S 18th St	19103	4.0	734	American
Pete's Famous Pizza     	116 N 21st St	19103	3.5	228	European
Condesa       	1830 Ludlow St	19103	4.0	117	Mexican
Moustaki Authentic Gyros     	161 N 21st St	19103	4.0	147	American
Square on Square     	274 S 20th St	19103	3.5	246	Italian
Devil's Alley Bar & Grille   	1907 Chestnut St	19103	3.5	825	American
Giwa Korean Kitchen     	1722 Sansom St	19103	3.5	412	Korean
Tampopo       	104 S 21st St, Ste A	19103	4.0	273	Japanese
Audrey Claire      	276 S 20th St	19103	4.0	722	American
Plenty Café      	1602 Spruce St	19103	3.5	247	American
James Restaurant & Bar    	1835 Arch St	19103	3.5	198	American
CAVA       	1713 Chestnut St	19103	4.0	106	American
Helium Comedy Club     	2031 Sansom St	19103	3.5	352	American
sweetgreen       	1821 Chestnut St	19103	4.0	213	American
Butcher Bar      	2034 Chestnut St	19103	4.0	682	American
The Bakeshop on 20th    	269 S 20th St	19103	4.5	346	American
Davios       	111 S 17th St	19103	4.0	614	Italian
Mama Palma's Gourmet Pizza    	2229 Spruce St	19103	3.5	231	Italian
Le Castagne      	1920 Chestnut St	19103	3.5	119	Italian
Noble: An American Cookery    	2025 Sansom St	19103	4.0	147	American
Rogue's Gallery      	11 S 21st St	19103	4.0	165	American
Philadelphia Chutney Company     	1628 Sansom St	19103	4.0	467	Indian
Animo Juice      	1701 Arch St	19103	4.0	272	Mexican
Day By Day     	2101 Sansom St	19103	4.0	642	American
Miel Patisserie      	204 S 17th St	19103	3.5	432	Bakery
QU JAPAN BISTRO & BAR   	1635 Market St, Ste 103	19103	4.5	118	Japanese
Smile Cafe      	105 S 22nd St	19103	4.0	303	SE Asian
Ruth's Chris Steak House    	1800 Market St	19103	3.5	184	American
PrimoHoagies       	2043 Chestnut St	19103	4.0	154	Italian
Bao Nine      	38 S 19th St	19103	4.5	138	Chinese
C19 Cichetteria Venezia     	267 S 19th St	19103	3.5	116	Italian
Res Ipsa Cafe     	2218 Walnut St	19103	4.0	205	Italian
Tortorice's Italian Specialty Sandwiches    	233 S 20th St	19103	4.5	101	Italian
Cleavers       	108 S 18th St	19103	4.0	1304	Cheesesteaks
Rouge       	205 S 18th St	19103	3.5	495	American
Harper's Garden      	31 S 18th St	19103	4.0	516	American
Gusto Pizzeria      	240 S 22nd St	19103	4.0	171	Italian
Thai Singha House Express    	106 S 20th St	19103	4.0	211	SE Asian
Drinker's Pub      	1903 Chestnut St	19103	3.5	297	American
Alfa American Tavern     	1709 Walnut St	19103	3.5	148	American
Mix Brick Oven Pizza    	2101 Chestnut St	19103	3.5	218	European
Famous 4th Street Delicatessen    	38 S 19th St	19103	4.0	166	American
Spread Bagelry      	262 S 20th St	19103	3.5	579	Jewish
D'Angelo's Ristorante Italiano     	256 S 20th St	19103	3.5	163	Italian
Bluestone Lane      	1701 Locust St	19103	4.0	302	American
SkyGarten       	1717 Arch St, Fl 51, Three Logan Square	19103	3.5	109	American
K'Far Cafe      	110 S 19th St	19103	4.5	356	American
JJ Thai Cuisine     	2028 Chestnut St	19103	4.5	376	European
Jean-Georges Philadelphia      	1 N 19th St, Fl 59	19103	4.0	117	American
Scarpetta       	210 W Rittenhouse Square	19103	4.0	213	Italian
Friday Saturday Sunday     	261 S 21st St	19103	4.0	246	American
Vernick Fish      	1876 Arch St	19103	4.5	129	European
Chima Steakhouse      	1901 John F Kennedy Blvd	19103	3.5	697	American
Slice       	1740 Sansom St	19103	3.5	214	European
a.bar       	1737 Walnut St	19103	4.0	116	American
Federal Donuts      	1632 Sansom St	19103	4.0	1464	American
LeBus Bakery      	129 S 18th St	19103	4.0	134	Jewish
Seafood Unlimited      	270 S 20th St	19103	3.5	143	American
Tria Taproom      	2005 Walnut St	19103	4.5	357	American
MIZU Sushi Bar     	133 S 20th St	19103	3.5	112	Japanese
Tsuki Sushi      	2135 Walnut St	19103	3.5	149	Japanese
Friday Saturday Sunday     	261 S 21st St	19103	4.5	287	American
Tandoor Authentic Indian Restaurant    	106 S 40th St	19104	3.5	148	Indian
Han Dynasty      	3711 Market St	19104	4.0	783	Chinese
Capogiro Gelato      	3925 Walnut St	19104	4.0	252	European
Hai Street Kitchen & Co   	125 S 40th St	19104	3.5	100	Japanese
HipCityVeg - University City    	214 S 40th St	19104	4.0	314	American
The Fat Ham     	3131 Walnut St	19104	4.0	286	European
Cucina Zapata      	S 31st & Ludlow St	19104	4.5	248	Mexican
Bridgewater's Pub      	30th Street Station	19104	3.5	162	American
Wishbone       	4034 Walnut St	19104	3.5	191	American
Wahoo's Fish Taco     	3180 Chestnut St	19104	3.5	133	Mexican
New Delhi Indian Restaurant    	4004 Chestnut St	19104	4.0	514	Indian
Local 44      	4333 Spruce St	19104	3.5	494	American
Sabrina's Café      	227 N 34th St	19104	4.0	833	American
U-Town       	110 S 40th St	19104	3.5	127	Japanese
Koch's Deli      	4309 Locust St	19104	4.0	260	Jewish
The Farmacy      	4443 Spruce St	19104	3.5	226	American
Tampopo       	269 S 44th St	19104	3.5	185	Japanese
Chengdu Famous Food     	3635 Lancaster Ave	19104	4.0	214	Chinese
Hummus Grill      	3931 Walnut St	19104	4.0	372	Middle Eastern
Louie Louie      	3611 Walnut St	19104	4.0	272	American
Abyssinia       	229 S 45th St	19104	3.5	307	African
United By Blue     	3421 Walnut St	19104	4.0	102	American
Cozara       	3200 Chestnut StChestnut Square, Ste A, 33rd & Chestnut	19104	3.5	181	Japanese
The Green Line Cafe    	4239 Baltimore Ave	19104	3.5	197	American
Colonial Pizza      	400 S 43rd St	19104	4.0	106	European
Renata's Kitchen      	3940 Baltimore Ave	19104	4.0	203	American
Aloosh Hookah Bar Restaurant    	3600 Lancaster Ave	19104	4.0	104	Middle Eastern
Sitar India      	60 S 38th St	19104	4.0	387	Indian
JG Domestic      	2929 Arch St	19104	3.5	171	American
Baby Blues BBQ Philly    	3432 Sansom St	19104	3.5	466	BBQ
Manakeesh Cafe Bakery & Grill   	4420 Walnut St	19104	4.0	646	American
Clarkville       	4301 Baltimore Ave	19104	3.5	227	European
Distrito       	3945 Chestnut St	19104	3.5	1077	Mexican
Pattaya       	4040 Locust St	19104	3.5	327	European
Dim Sum House     	3939 Chestnut St, Fl 2	19104	4.0	451	Chinese
CO-OP Restaurant & Lounge    	20 S 33rd St	19104	3.5	128	American
Knockbox Cafe      	405 S 45th St	19104	4.0	115	Jewish
Marigold Kitchen      	501 S 45th St	19104	4.0	272	American
Kabobeesh       	4201 Chestnut St	19104	3.5	322	Indian
Don Barriga Mexican Grill    	4443 Spruce St, Fl 1st	19104	4.5	109	Mexican
Desi Chaat House     	501 S 42nd St	19104	4.0	241	Indian
Metropolitan Bakery      	4013 Walnut St	19104	3.5	137	American
Ethio Cafe & Carry Out   	225 S 45th St	19104	4.0	112	African
City Tap House     	3925 Walnut St, Fl 2, Radian Balcony	19104	3.5	742	American
LaTao HotPot      	3717 Chestnut St	19104	4.0	138	Chinese
Meskerem Ethiopian Restaurant     	225 S 45th St	19104	4.5	105	African
Terakawa Ramen      	125 S 40th St	19104	4.0	147	Japanese
Walnut Street Cafe     	2929 Walnut St	19104	3.5	253	American
World Cafe Live     	3025 Walnut St	19104	4.0	350	American
Tipsy Bistro      	3131 Walnut St	19104	4.5	169	American
Zavino       	3200 Chestnut St	19104	4.0	314	Italian
Abner's Cheesesteaks      	3813 Chestnut St	19104	3.5	223	American
Ochatto       	3608 Chestnut St	19104	3.5	217	Japanese
Pho & Cafe Saigon    	4248 Spruce St	19104	3.5	183	SE Asian
Wah-Gi-Wah       	4447 Chestnut St	19104	3.5	135	Indian
Kaffa Crossing      	4421 Chestnut St	19104	4.0	207	American
Thai Singha House     	3906B Chestnut St	19104	3.5	120	SE Asian
Winterfell Dessert      	32 S 40th St	19104	4.5	136	Chinese
New Deck Tavern     	3408 Sansom St	19104	3.5	419	American
Bobby's Burger Palace     	University of Pennsylvania, 3925 Walnut St	19104	3.5	788	American
Jezabel's       	206-208 S 45th St	19104	3.5	129	American
Ramen Bar      	3400 Lancaster Ave	19104	3.5	343	Japanese
Lovers & Madmen     	28 S 40th St	19104	3.5	132	American
Shake Shack      	3200 Chestnut St	19104	3.5	218	American
Zesto Pizza & Grill    	125 S 40th St	19104	4.0	127	American
Reed's Coffee & Tea House   	3802 Lancaster Ave	19104	4.5	106	American
Koreana       	3801 Chestnut St	19104	3.5	363	Italian
Honest Tom's Plant Based Taco Shop  	261 S 44th St	19104	4.0	597	Mexican
Kilimandjaro Restaurant      	4317 Chestnut St	19104	4.0	252	African
Chili Szechuan      	4205 Chestnut St	19104	4.0	147	Chinese
Chattime       	3608 Chestnut St	19104	4.0	107	Japanese
Beijing Restaurant      	3714 Spruce St	19104	3.5	188	Chinese
Pod       	3636 Sansom St	19104	3.5	797	Japanese
Tuna Bar      	205 Race St	19106	4.0	245	Japanese
Capofitto       	233 Chestnut St	19106	4.5	205	Italian
Tomo Sushi & Ramen    	228 Arch St	19106	4.5	193	Japanese
Mac's Tavern      	226 Market St	19106	3.5	446	American
Cafe Square One     	50 S 3rd St	19106	4.5	245	American
LaScala's       	615 Chestnut St	19106	3.5	367	Italian
Nauti Mermaid Crab House    	110 Chestnut St	19106	4.0	108	American
Red Owl Tavern     	433 Chestnut St	19106	3.5	618	American
Ariana       	134 Chestnut St	19106	4.0	115	Middle Eastern
Khyber Pass Pub     	56 S 2nd St	19106	4.0	845	American
Marmont Steakhouse & Bar    	222 Market St	19106	3.5	316	American
Tartes Pastry Shop     	212 Arch St	19106	4.0	181	Bakery
Revolution House      	200 Market St	19106	3.5	554	Italian
Amada       	217 Chestnut St	19106	4.0	2109	American
Buk Chon Korean Cuisine    	132 Chestnut St	19106	4.5	221	Korean
Chifa       	707 Chestnut St	19106	4.0	444	American
P. J. Clarke's     	601 Walnut St	19106	4.0	130	American
Bistro 7      	7 N 3rd St	19106	3.5	108	European
Las Bugambilias      	15 S 3rd St	19106	4.0	381	Mexican
Sto's Bar & Restaurant    	236 Market St	19106	3.5	119	American
SOHO Pizza      	218 Market St	19106	3.5	176	European
La Peg      	140 N Columbus Blvd	19106	3.5	252	American
Sonny's Famous Steaks     	228 Market St	19106	4.0	1697	American
Zahav       	237 St James Pl	19106	4.5	3065	Middle Eastern
M Restaurant      	231 S 8th St	19106	3.5	165	Italian
National Mechanics      	22 S 3rd St	19106	4.0	875	American
Radicchio Cafe      	402 Wood St	19106	4.0	309	Italian
Ristorante La Buca     	711 Locust St	19106	3.5	113	Italian
Kabul Afghan Cuisine     	106 Chestnut St	19106	3.5	185	American
Gianfranco Pizza Rustica     	6 N 3rd St	19106	4.0	247	Italian
Positano Coast by Aldo Lamberti   	212 Walnut St, Fl 2	19106	3.5	689	Italian
The Continental Restaurant and Martini Bar  	138 Market St	19106	4.0	638	American
Koto Sushi      	719 Sansom St	19106	4.5	280	Japanese
Triumph Brewing Company     	117 Chestnut St	19106	3.5	318	American
Moshulu       	401 S Columbus Blvd	19106	3.5	874	American
Big Ass Slices     	218 Market St	19106	3.5	240	American
The Victoria Freehouse     	10 S Front St	19106	4.0	220	American
Panini's Trattoria      	317 Market St	19106	3.5	100	Italian
Frieda       	320 Walnut St	19106	4.5	193	American
Wedge + Fig     	160 N 3rd St	19106	4.0	408	American
Glory Beer Bar & Kitchen   	126 Chestnut St	19106	4.5	203	American
2nd Story Brewing     	117 Chestnut St	19106	4.0	561	American
City Tavern Restaurant     	138 S 2nd St	19106	4.0	841	Italian
Royal Boucherie      	52 S 2nd St	19106	4.0	228	American
Aqua Malaysian Thai Cuisine    	705 Chestnut St	19106	3.5	162	SE Asian
Cafe Walnut      	703 Walnut St	19106	4.5	128	Jewish
Cooperage Wine & Whiskey Bar   	123 S 7th St	19106	4.0	240	American
Race Street Cafe     	208 Race St	19106	4.0	315	American
Roe       	138 Chestnut St	19106	3.5	109	Japanese
Knead Bagels      	725 Walnut St	19106	4.5	367	Jewish
Common Wealth Old City    	319 Market St	19106	3.5	221	American
Luna Café      	317 Market St	19106	4.0	444	American
Sassafras Bar      	48 S 2nd St	19106	4.5	352	American
Oh Brother Philly     	206 Market St	19106	4.5	511	Cheesesteaks
Fat Salmon      	719 Walnut St	19106	4.5	1089	Japanese
Independence Visitor Center     	599 Market St	19106	4.5	141	SE Asian
Union Trust      	717 Chestnut St	19106	4.0	138	American
La Famiglia Ristorante     	8 S Front St	19106	4.0	140	Italian
Prime Stache      	110 Chestnut St	19106	4.0	212	American
El Fuego      	723 Walnut St	19106	3.5	258	Mexican
Talula's Daily      	208 W Washington Square	19106	4.5	368	American
Happily Ever After     	230 Market St	19106	4.0	358	American
Morimoto       	723 Chestnut St	19106	4.5	1914	Japanese
Silence Dogood's Tavern     	216 Market St	19106	4.5	111	American
Bierstube German Tavern     	206 Market St	19106	3.5	179	American
Forsythia       	233 Chestnut St	19106	4.5	123	American
Fork       	306 Market St	19106	4.0	640	American
Lucha Cartel      	207 Chestnut St	19106	3.5	556	Mexican
Talula's Garden      	210 W Washington Sq	19106	4.5	1927	American
United By Blue     	205 Race St	19106	4.5	135	American
Eggcellent Cafe      	113 Chestnut St	19106	4.0	140	American
Paddy's Old City Pub    	228 Race St	19106	3.5	117	American
Karma Restaurant & Bar    	114 Chestnut St	19106	4.0	453	Indian
Panorama       	14 N Front St	19106	4.0	324	Italian
Buffalo Billiards      	118 Chestnut St	19106	3.5	241	American
The Plough & the Stars   	123 Chestnut St	19106	3.5	454	American
JJ Bootleggers      	35 S 2nd St	19106	3.5	251	BBQ
Chloe       	232 Arch St	19106	4.0	144	American
The Gaslight      	120 Market St	19106	3.5	270	American
Zento Contemporary Japanese Cuisine    	132 Chestnut St	19106	4.0	519	Japanese
Spasso Italian Grill     	34 S Front St	19106	4.0	541	Italian
The Little Lion     	243 Chestnut St	19106	4.0	494	American
Buddakan       	325 Chestnut St	19106	4.0	1561	Chinese
European Republic      	213 Chestnut St	19106	4.0	239	American
The Olde Bar     	125 Walnut St	19106	4.0	302	American
Han Dynasty      	123 Chestnut St	19106	4.0	1474	Chinese
Nick's Bar and Grille    	16 S 2nd St	19106	4.0	181	American
Torch-Wood Cafe      	303 N 3rd St	19106	4.5	103	American
El Azteca Uno     	714 Chestnut St	19106	3.5	242	Mexican
Cuba Libre Restaurant & Rum Bar - Philadelphia	10 S 2nd St	19106	3.5	1195	American
Mumbai Bistro      	930 Locust St	19107	4.0	217	Indian
The Farm and Fisherman    	1120 Pine St	19107	4.0	234	American
J'aime French Bakery     	212 S 12th St	19107	4.5	310	Bakery
Empress Garden      	108 N 10th St	19107	4.0	263	Chinese
Kanella       	1001 Spruce St	19107	4.5	579	American
Makiman Sushi      	1326 Spruce St	19107	3.5	209	Japanese
Bareburger - Midtown Village    	1109 Walnut St	19107	4.0	622	American
Erawan Thai Cuisine     	925 Arch St	19107	3.5	180	SE Asian
Cheu Noodle Bar     	255 S 10th St	19107	4.0	818	Japanese
Bai Wei      	1038 Race St	19107	4.0	231	Chinese
Termini Bros Bakery     	12th St & Filbert St	19107	4.0	263	Bakery
Parada Maimon      	345 N 12th St	19107	4.5	202	American
Penang       	117 N 10th St	19107	3.5	1112	Chinese
Lee How Fook     	219 N 11th St	19107	4.0	231	Chinese
Top Tomato Bar & Pizza   	116 S 11th St	19107	3.5	232	Italian
Vetri Cucina      	1312 Spruce St	19107	4.5	489	Italian
Tria Cafe Wash West    	1137 Spruce St	19107	4.5	770	American
Bocconcini       	1334 Pine St	19107	4.5	163	Italian
Loews Philadelphia Hotel     	1200 Market St	19107	3.5	505	American
Bubblefish       	909 Arch St	19107	4.0	544	Japanese
BRÜ Craft & Wurst    	1318 Chestnut St	19107	3.5	526	European
Bank & Bourbon     	1200 Market St	19107	3.5	390	American
El Purepecha      	315 N 12th St	19107	4.5	239	Mexican
Vietnam Restaurant      	221 N 11th St	19107	4.0	421	SE Asian
Dmitri's       	2227 Pine St	19107	3.5	151	European
Happy Lamb Hot Pot    	1017 Arch St, Fl 1	19107	4.0	169	Chinese
Sahara Grill      	1334 Walnut St	19107	4.0	322	Middle Eastern
Carmen's Famous Italian Hoagies    	12th St & Arch St	19107	3.5	589	Cheesesteaks
Kabuki Sushi      	45 N 13th St	19107	4.0	400	Japanese
Bleu Sushi      	262 S 10th St	19107	4.5	938	Japanese
Sammy Chon's KTown BBQ    	911 Race St	19107	3.5	148	Korean
Oishii Poké      	938 Arch St	19107	4.0	228	Japanese
IndeBlue Modern Indian Food & Spirits  	205 South 13th St	19107	4.5	1097	Indian
The Trestle Inn     	339 N 11th St	19107	4.0	203	American
Charlie Was a Sinner    	131 S 13th St	19107	4.0	1039	American
Terakawa Ramen      	204 N 9th St	19107	4.5	1693	Japanese
Pennsylvania 6      	114 S 12th St	19107	4.0	296	American
Libertine Restauraunt      	261 S 13th St	19107	4.0	117	American
Fish       	1234 Locust St	19107	4.0	153	American
Ray's Café & Teahouse    	141 N 9th St	19107	4.5	181	Chinese
By George! Pizza Pasta & Cheesesteaks  	51 N 12th St	19107	4.0	284	Italian
Shang Hai 1     	123 N 10th St	19107	4.0	332	Chinese
Moriarty's Restaurant and Irish Pub   	1116 Walnut St	19107	3.5	629	American
Seorabol Center City     	1326 Spruce St	19107	4.0	219	Korean
Marabella Meatball Co.     	1211 Walnut St	19107	3.5	132	Italian
Fogo de Chao     	1337 Chestnut St	19107	4.0	1426	American
Meltkraft At Reading Terminal Market   	51 N 12th St	19107	4.0	283	American
Szechuan Four Rivers     	936 Race St	19107	3.5	218	Chinese
Kanella Grill      	1001 Spruce St	19107	4.0	242	American
Lolita       	106 S 13th St	19107	4.0	423	Mexican
Nomad Roman Pizza     	1305 Locust St	19107	4.0	286	Italian
A La Mousse     	145 N 11th St	19107	4.5	691	Bakery
Little Nonna's      	1234 Locust St	19107	4.0	1147	Italian
